Message,Label,Suspicion_Index
"Cash only, no phones during the deal.",Highly Suspicious,0.88
Wrap it properly this time.,Suspicious,0.6
Let’s catch up this weekend.,Safe,0.23
Don't forget the groceries.,Safe,0.01
I'll send the document tomorrow.,Safe,0.26
"Hey, how was your day?",Safe,0.03
Let's meet at 5 pm.,Safe,0.05
The weather is nice today.,Safe,0.17
I'll send the document tomorrow.,Safe,0.21
Let's meet at 5 pm.,Safe,0.27
Have you seen the new movie?,Safe,0.22
I'll call you in 10 minutes.,Safe,0.07
Don't forget the groceries.,Safe,0.11
"Don't get caught, it's all LSD in the packet.",Highly Suspicious,0.85
Bring the green stuff but don’t tell anyone.,Suspicious,0.57
Have you seen the new movie?,Safe,0.01
"You know the code, no talking on the phone.",Highly Suspicious,0.95
Don’t text me here about this again.,Suspicious,0.65
Thanks for your help!,Safe,0.18
He said the batch is pure and strong.,Suspicious,0.52
Let’s catch up this weekend.,Safe,0.22
Have you seen the new movie?,Safe,0.05
Have you seen the new movie?,Safe,0.04
Where is the meeting happening?,Safe,0.1
Let's meet at 5 pm.,Safe,0.3
Is the delivery still on for tonight?,Suspicious,0.49
"Hey, how was your day?",Safe,0.16
Let's meet at 5 pm.,Safe,0.18
Is the delivery still on for tonight?,Suspicious,0.42
I'll call you in 10 minutes.,Safe,0.16
Where is the meeting happening?,Safe,0.02
I'll send the document tomorrow.,Safe,0.14
Where is the meeting happening?,Safe,0.21
"Don't get caught, it's all LSD in the packet.",Highly Suspicious,0.96
I'll send the document tomorrow.,Safe,0.29
He mentioned some white powder in a bag.,Suspicious,0.57
Let's meet at 5 pm.,Safe,0.27
Can you get the stuff we talked about?,Suspicious,0.49
"Don't get caught, it's all LSD in the packet.",Highly Suspicious,0.88
Bring the green stuff but don’t tell anyone.,Suspicious,0.54
Let’s catch up this weekend.,Safe,0.06
The weather is nice today.,Safe,0.04
Let’s meet at the same alley tonight.,Suspicious,0.51
"Hey, how was your day?",Safe,0.19
Wrap it properly this time.,Suspicious,0.62
Thanks for your help!,Safe,0.28
The weather is nice today.,Safe,0.22
Don't forget the groceries.,Safe,0.15
Let’s catch up this weekend.,Safe,0.02
Wrap it properly this time.,Suspicious,0.55
Where is the meeting happening?,Safe,0.28
Can you get the stuff we talked about?,Suspicious,0.4
Where is the meeting happening?,Safe,0.19
You still got the pills from last time?,Suspicious,0.66
"Got 5 grams of coke ready, when can we meet?",Highly Suspicious,0.84
"Hey, how was your day?",Safe,0.24
Is the delivery still on for tonight?,Suspicious,0.5
The weather is nice today.,Safe,0.13
Have you seen the new movie?,Safe,0.11
"Hey, how was your day?",Safe,0.26
"Just cash, no transfers.",Suspicious,0.58
I'll call you in 10 minutes.,Safe,0.14
Drop the bag behind the dumpster.,Highly Suspicious,0.93
Where is the meeting happening?,Safe,0.02
Let's meet at 5 pm.,Safe,0.15
Let's meet at 5 pm.,Safe,0.06
"Got a new supplier for meth, very clean.",Highly Suspicious,0.82
Thanks for your help!,Safe,0.18
Bring the green stuff but don’t tell anyone.,Suspicious,0.43
Let's meet at 5 pm.,Safe,0.18
Have you seen the new movie?,Safe,0.05
Thanks for your help!,Safe,0.26
I'll send the document tomorrow.,Safe,0.18
Thanks for your help!,Safe,0.15
You still got the pills from last time?,Suspicious,0.68
Is the delivery still on for tonight?,Suspicious,0.65
I'll send the document tomorrow.,Safe,0.1
"Hey, how was your day?",Safe,0.2
"Hey, how was your day?",Safe,0.21
The weather is nice today.,Safe,0.06
Let’s meet at the same alley tonight.,Suspicious,0.42
Thanks for your help!,Safe,0.02
Where is the meeting happening?,Safe,0.18
The weather is nice today.,Safe,0.1
Let’s catch up this weekend.,Safe,0.14
"Hey, how was your day?",Safe,0.26
"Hey, how was your day?",Safe,0.01
Have you seen the new movie?,Safe,0.08
Thanks for your help!,Safe,0.02
Let’s catch up this weekend.,Safe,0.06
Delivering 2kg of dope tonight.,Highly Suspicious,0.99
Thanks for your help!,Safe,0.12
Thanks for your help!,Safe,0.04
The weather is nice today.,Safe,0.28
"Hey, how was your day?",Safe,0.09
I'll call you in 10 minutes.,Safe,0.01
Wrap it properly this time.,Suspicious,0.52
He mentioned some white powder in a bag.,Suspicious,0.67
The weather is nice today.,Safe,0.29
Don't forget the groceries.,Safe,0.14
Don't forget the groceries.,Safe,0.28
Where is the meeting happening?,Safe,0.18
Delivering 2kg of dope tonight.,Highly Suspicious,0.83
Let’s catch up this weekend.,Safe,0.28
He said the batch is pure and strong.,Suspicious,0.68
Is the delivery still on for tonight?,Suspicious,0.66
He said the batch is pure and strong.,Suspicious,0.44
Have you seen the new movie?,Safe,0.17
He mentioned some white powder in a bag.,Suspicious,0.7
I'll call you in 10 minutes.,Safe,0.03
Have you seen the new movie?,Safe,0.27
Bring the green stuff but don’t tell anyone.,Suspicious,0.66
"Hey, how was your day?",Safe,0.11
The weather is nice today.,Safe,0.16
"Got 5 grams of coke ready, when can we meet?",Highly Suspicious,0.86
"MDMA is in the backpack, be quick.",Highly Suspicious,0.96
Let's meet at 5 pm.,Safe,0.19
I'll send the document tomorrow.,Safe,0.04
I'll send the document tomorrow.,Safe,0.21
Can you get the stuff we talked about?,Suspicious,0.58
Have you seen the new movie?,Safe,0.13
Where is the meeting happening?,Safe,0.06
I'll send the document tomorrow.,Safe,0.27
Let’s catch up this weekend.,Safe,0.04
Don’t text me here about this again.,Suspicious,0.67
Let’s catch up this weekend.,Safe,0.05
Let’s meet at the same alley tonight.,Suspicious,0.44
Don't forget the groceries.,Safe,0.19
Let's meet at 5 pm.,Safe,0.02
Is the delivery still on for tonight?,Suspicious,0.44
Don't forget the groceries.,Safe,0.04
Where is the meeting happening?,Safe,0.17
"Hey, how was your day?",Safe,0.23
Where is the meeting happening?,Safe,0.25
The weather is nice today.,Safe,0.25
I'll send the document tomorrow.,Safe,0.11
I'll call you in 10 minutes.,Safe,0.18
Drop the bag behind the dumpster.,Highly Suspicious,0.8
I'll send the document tomorrow.,Safe,0.24
"Got 5 grams of coke ready, when can we meet?",Highly Suspicious,0.83
I'll send the document tomorrow.,Safe,0.27
Let’s catch up this weekend.,Safe,0.16
I'll call you in 10 minutes.,Safe,0.21
Let's meet at 5 pm.,Safe,0.23
"Hey, how was your day?",Safe,0.12
You still got the pills from last time?,Suspicious,0.67
Can you get the stuff we talked about?,Suspicious,0.45
Where is the meeting happening?,Safe,0.3
"Hey, how was your day?",Safe,0.27
He mentioned some white powder in a bag.,Suspicious,0.52
Thanks for your help!,Safe,0.17
Price for weed is 1500 per pack. You want it?,Highly Suspicious,0.87
Let's meet at 5 pm.,Safe,0.14
Is the delivery still on for tonight?,Suspicious,0.5
Let's meet at 5 pm.,Safe,0.22
Shipment includes heroin and acid.,Highly Suspicious,0.91
Thanks for your help!,Safe,0.26
Wrap it properly this time.,Suspicious,0.6
Where is the meeting happening?,Safe,0.27
Let's meet at 5 pm.,Safe,0.26
Price for weed is 1500 per pack. You want it?,Highly Suspicious,0.95
Let's meet at 5 pm.,Safe,0.15
I'll call you in 10 minutes.,Safe,0.16
"Don't get caught, it's all LSD in the packet.",Highly Suspicious,0.84
Where is the meeting happening?,Safe,0.23
Have you seen the new movie?,Safe,0.1
The weather is nice today.,Safe,0.26
Let’s meet at the same alley tonight.,Suspicious,0.61
Is the delivery still on for tonight?,Suspicious,0.67
Thanks for your help!,Safe,0.2
I'll send the document tomorrow.,Safe,0.01
"Don't get caught, it's all LSD in the packet.",Highly Suspicious,0.9
"Don't get caught, it's all LSD in the packet.",Highly Suspicious,0.98
Have you seen the new movie?,Safe,0.22
I'll call you in 10 minutes.,Safe,0.14
Don't forget the groceries.,Safe,0.05
Wrap it properly this time.,Suspicious,0.46
Where is the meeting happening?,Safe,0.3
Don't forget the groceries.,Safe,0.18
Don't forget the groceries.,Safe,0.27
Thanks for your help!,Safe,0.06
Delivering 2kg of dope tonight.,Highly Suspicious,0.86
Don't forget the groceries.,Safe,0.11
The weather is nice today.,Safe,0.27
Let's meet at 5 pm.,Safe,0.0
Where is the meeting happening?,Safe,0.29
The weather is nice today.,Safe,0.19
Where is the meeting happening?,Safe,0.24
Don’t text me here about this again.,Suspicious,0.42
I'll call you in 10 minutes.,Safe,0.3
I'll call you in 10 minutes.,Safe,0.0
Don't forget the groceries.,Safe,0.27
The weather is nice today.,Safe,0.02
I'll send the document tomorrow.,Safe,0.22
Let's meet at 5 pm.,Safe,0.0
Don’t text me here about this again.,Suspicious,0.41
I'll send the document tomorrow.,Safe,0.15
I'll send the document tomorrow.,Safe,0.21
Where is the meeting happening?,Safe,0.03
I'll call you in 10 minutes.,Safe,0.04
He mentioned some white powder in a bag.,Suspicious,0.67
I'll send the document tomorrow.,Safe,0.05
Where is the meeting happening?,Safe,0.25
Have you seen the new movie?,Safe,0.07
The weather is nice today.,Safe,0.26
I'll send the document tomorrow.,Safe,0.01
Don't forget the groceries.,Safe,0.21
Let’s catch up this weekend.,Safe,0.27
Don't forget the groceries.,Safe,0.22
Is the delivery still on for tonight?,Suspicious,0.58
Have you seen the new movie?,Safe,0.24
"Hey, how was your day?",Safe,0.01
Is the delivery still on for tonight?,Suspicious,0.68
You still got the pills from last time?,Suspicious,0.45
Is the delivery still on for tonight?,Suspicious,0.64
I'll send the document tomorrow.,Safe,0.06
I'll call you in 10 minutes.,Safe,0.24
Where is the meeting happening?,Safe,0.15
"Hey, how was your day?",Safe,0.14
Let’s catch up this weekend.,Safe,0.19
Where is the meeting happening?,Safe,0.14
"Hey, how was your day?",Safe,0.19
Have you seen the new movie?,Safe,0.15
Thanks for your help!,Safe,0.15
Shipment includes heroin and acid.,Highly Suspicious,0.94
I'll call you in 10 minutes.,Safe,0.26
Let’s meet at the same alley tonight.,Suspicious,0.58
"Hey, how was your day?",Safe,0.01
Don't forget the groceries.,Safe,0.06
Let’s meet at the same alley tonight.,Suspicious,0.47
"Got a new supplier for meth, very clean.",Highly Suspicious,0.98
Where is the meeting happening?,Safe,0.1
Let's meet at 5 pm.,Safe,0.13
The weather is nice today.,Safe,0.22
I'll send the document tomorrow.,Safe,0.03
Don't forget the groceries.,Safe,0.16
You still got the pills from last time?,Suspicious,0.44
"Hey, how was your day?",Safe,0.22
Where is the meeting happening?,Safe,0.26
"Hey, how was your day?",Safe,0.02
Let’s meet at the same alley tonight.,Suspicious,0.49
"You know the code, no talking on the phone.",Highly Suspicious,0.97
The weather is nice today.,Safe,0.06
Let's meet at 5 pm.,Safe,0.24
Don't forget the groceries.,Safe,0.21
Don't forget the groceries.,Safe,0.17
Where is the meeting happening?,Safe,0.28
You still got the pills from last time?,Suspicious,0.56
Let's meet at 5 pm.,Safe,0.28
Have you seen the new movie?,Safe,0.1
I'll send the document tomorrow.,Safe,0.23
He mentioned some white powder in a bag.,Suspicious,0.66
Let’s meet at the same alley tonight.,Suspicious,0.51
Have you seen the new movie?,Safe,0.26
Where is the meeting happening?,Safe,0.19
The weather is nice today.,Safe,0.23
Bring the green stuff but don’t tell anyone.,Suspicious,0.69
The weather is nice today.,Safe,0.12
He said the batch is pure and strong.,Suspicious,0.53
Let’s catch up this weekend.,Safe,0.08
Where is the meeting happening?,Safe,0.03
"Hey, how was your day?",Safe,0.05
Let’s catch up this weekend.,Safe,0.04
I'll call you in 10 minutes.,Safe,0.11
I'll send the document tomorrow.,Safe,0.27
Bring the green stuff but don’t tell anyone.,Suspicious,0.56
Delivering 2kg of dope tonight.,Highly Suspicious,0.97
I'll call you in 10 minutes.,Safe,0.15
I'll send the document tomorrow.,Safe,0.08
I'll call you in 10 minutes.,Safe,0.19
Thanks for your help!,Safe,0.13
I'll call you in 10 minutes.,Safe,0.2
Don't forget the groceries.,Safe,0.16
Let's meet at 5 pm.,Safe,0.28
The weather is nice today.,Safe,0.28
I'll call you in 10 minutes.,Safe,0.07
"You know the code, no talking on the phone.",Highly Suspicious,0.92
Have you seen the new movie?,Safe,0.26
Price for weed is 1500 per pack. You want it?,Highly Suspicious,0.91
"Hey, how was your day?",Safe,0.11
"Hey, how was your day?",Safe,0.01
Drop the bag behind the dumpster.,Highly Suspicious,0.9
Don't forget the groceries.,Safe,0.28
Let's meet at 5 pm.,Safe,0.29
Delivering 2kg of dope tonight.,Highly Suspicious,0.86
Have you seen the new movie?,Safe,0.13
"Hey, how was your day?",Safe,0.25
Let’s catch up this weekend.,Safe,0.19
Wrap it properly this time.,Suspicious,0.46
Where is the meeting happening?,Safe,0.17
The weather is nice today.,Safe,0.24
"Hey, how was your day?",Safe,0.12
Let’s catch up this weekend.,Safe,0.22
"Hey, how was your day?",Safe,0.19
He said the batch is pure and strong.,Suspicious,0.43
The weather is nice today.,Safe,0.22
The weather is nice today.,Safe,0.16
"Hey, how was your day?",Safe,0.12
"Just cash, no transfers.",Suspicious,0.59
I'll send the document tomorrow.,Safe,0.2
He said the batch is pure and strong.,Suspicious,0.54
The weather is nice today.,Safe,0.19
"Hey, how was your day?",Safe,0.11
I'll send the document tomorrow.,Safe,0.14
"You know the code, no talking on the phone.",Highly Suspicious,0.91
Don't forget the groceries.,Safe,0.17
Don’t text me here about this again.,Suspicious,0.42
I'll send the document tomorrow.,Safe,0.09
Don't forget the groceries.,Safe,0.16
Let's meet at 5 pm.,Safe,0.07
Where is the meeting happening?,Safe,0.2
Let’s catch up this weekend.,Safe,0.04
Where is the meeting happening?,Safe,0.2
He said the batch is pure and strong.,Suspicious,0.44
I'll send the document tomorrow.,Safe,0.25
"Hey, how was your day?",Safe,0.24
Don't forget the groceries.,Safe,0.1
"Got a new supplier for meth, very clean.",Highly Suspicious,0.83
I'll send the document tomorrow.,Safe,0.07
"MDMA is in the backpack, be quick.",Highly Suspicious,0.96
I'll send the document tomorrow.,Safe,0.05
Bring the green stuff but don’t tell anyone.,Suspicious,0.53
Have you seen the new movie?,Safe,0.29
"Cash only, no phones during the deal.",Highly Suspicious,0.82
Don't forget the groceries.,Safe,0.27
I'll send the document tomorrow.,Safe,0.2
I'll send the document tomorrow.,Safe,0.08
I'll call you in 10 minutes.,Safe,0.07
Where is the meeting happening?,Safe,0.14
"Hey, how was your day?",Safe,0.19
I'll call you in 10 minutes.,Safe,0.09
Is the delivery still on for tonight?,Suspicious,0.67
Can you get the stuff we talked about?,Suspicious,0.51
Let's meet at 5 pm.,Safe,0.29
The weather is nice today.,Safe,0.13
Let’s catch up this weekend.,Safe,0.2
I'll send the document tomorrow.,Safe,0.17
Have you seen the new movie?,Safe,0.05
Let’s meet at the same alley tonight.,Suspicious,0.48
The weather is nice today.,Safe,0.13
Delivering 2kg of dope tonight.,Highly Suspicious,0.91
The weather is nice today.,Safe,0.11
"Hey, how was your day?",Safe,0.01
Don’t text me here about this again.,Suspicious,0.54
The weather is nice today.,Safe,0.03
"Hey, how was your day?",Safe,0.15
Don't forget the groceries.,Safe,0.1
Thanks for your help!,Safe,0.01
Thanks for your help!,Safe,0.04
Delivering 2kg of dope tonight.,Highly Suspicious,0.98
"MDMA is in the backpack, be quick.",Highly Suspicious,0.87
Shipment includes heroin and acid.,Highly Suspicious,0.92
Thanks for your help!,Safe,0.24
The weather is nice today.,Safe,0.25
"Don't get caught, it's all LSD in the packet.",Highly Suspicious,0.86
The weather is nice today.,Safe,0.1
The weather is nice today.,Safe,0.23
Where is the meeting happening?,Safe,0.16
I'll call you in 10 minutes.,Safe,0.01
I'll call you in 10 minutes.,Safe,0.23
You still got the pills from last time?,Suspicious,0.42
Don't forget the groceries.,Safe,0.18
"Hey, how was your day?",Safe,0.29
Can you get the stuff we talked about?,Suspicious,0.54
Thanks for your help!,Safe,0.18
The weather is nice today.,Safe,0.28
I'll call you in 10 minutes.,Safe,0.1
The weather is nice today.,Safe,0.18
The weather is nice today.,Safe,0.29
"Hey, how was your day?",Safe,0.02
Don't forget the groceries.,Safe,0.03
"You know the code, no talking on the phone.",Highly Suspicious,0.89
The weather is nice today.,Safe,0.16
"You know the code, no talking on the phone.",Highly Suspicious,0.93
The weather is nice today.,Safe,0.14
Don't forget the groceries.,Safe,0.03
Don’t text me here about this again.,Suspicious,0.69
Thanks for your help!,Safe,0.11
Don’t text me here about this again.,Suspicious,0.43
Thanks for your help!,Safe,0.15
Let’s catch up this weekend.,Safe,0.24
Don't forget the groceries.,Safe,0.2
Let’s catch up this weekend.,Safe,0.27
Thanks for your help!,Safe,0.1
"Just cash, no transfers.",Suspicious,0.44
Let’s meet at the same alley tonight.,Suspicious,0.5
Don’t text me here about this again.,Suspicious,0.58
Let’s catch up this weekend.,Safe,0.22
Don't forget the groceries.,Safe,0.11
Thanks for your help!,Safe,0.27
Let’s meet at the same alley tonight.,Suspicious,0.5
The weather is nice today.,Safe,0.01
I'll send the document tomorrow.,Safe,0.25
The weather is nice today.,Safe,0.04
Have you seen the new movie?,Safe,0.05
I'll send the document tomorrow.,Safe,0.29
I'll send the document tomorrow.,Safe,0.29
"Hey, how was your day?",Safe,0.01
"Hey, how was your day?",Safe,0.25
Thanks for your help!,Safe,0.03
I'll send the document tomorrow.,Safe,0.14
Price for weed is 1500 per pack. You want it?,Highly Suspicious,0.84
Price for weed is 1500 per pack. You want it?,Highly Suspicious,0.97
Bring the green stuff but don’t tell anyone.,Suspicious,0.41
"Hey, how was your day?",Safe,0.28
Let's meet at 5 pm.,Safe,0.25
Let's meet at 5 pm.,Safe,0.01
Can you get the stuff we talked about?,Suspicious,0.53
Have you seen the new movie?,Safe,0.22
"Cash only, no phones during the deal.",Highly Suspicious,0.94
Don't forget the groceries.,Safe,0.04
Let’s catch up this weekend.,Safe,0.1
Let’s catch up this weekend.,Safe,0.27
I'll call you in 10 minutes.,Safe,0.1
Let's meet at 5 pm.,Safe,0.26
The weather is nice today.,Safe,0.12
Thanks for your help!,Safe,0.23
Where is the meeting happening?,Safe,0.29
Can you get the stuff we talked about?,Suspicious,0.68
"Hey, how was your day?",Safe,0.25
The weather is nice today.,Safe,0.13
Have you seen the new movie?,Safe,0.02
Let's meet at 5 pm.,Safe,0.22
The weather is nice today.,Safe,0.06
I'll call you in 10 minutes.,Safe,0.26
Thanks for your help!,Safe,0.21
I'll call you in 10 minutes.,Safe,0.07
Let’s catch up this weekend.,Safe,0.03
I'll send the document tomorrow.,Safe,0.08
Let’s catch up this weekend.,Safe,0.07
Don't forget the groceries.,Safe,0.03
I'll call you in 10 minutes.,Safe,0.18
Thanks for your help!,Safe,0.29
Don't forget the groceries.,Safe,0.02
Don’t text me here about this again.,Suspicious,0.65
I'll call you in 10 minutes.,Safe,0.1
I'll call you in 10 minutes.,Safe,0.09
Don't forget the groceries.,Safe,0.15
Let's meet at 5 pm.,Safe,0.01
I'll send the document tomorrow.,Safe,0.02
Let's meet at 5 pm.,Safe,0.13
Wrap it properly this time.,Suspicious,0.69
The weather is nice today.,Safe,0.27
"Hey, how was your day?",Safe,0.11
"Hey, how was your day?",Safe,0.25
"Just cash, no transfers.",Suspicious,0.52
The weather is nice today.,Safe,0.15
The weather is nice today.,Safe,0.16
I'll call you in 10 minutes.,Safe,0.19
Can you get the stuff we talked about?,Suspicious,0.54
The weather is nice today.,Safe,0.27
Don't forget the groceries.,Safe,0.16
Let’s catch up this weekend.,Safe,0.12
He mentioned some white powder in a bag.,Suspicious,0.51
He mentioned some white powder in a bag.,Suspicious,0.47
The weather is nice today.,Safe,0.27
I'll call you in 10 minutes.,Safe,0.11
"Hey, how was your day?",Safe,0.26
He mentioned some white powder in a bag.,Suspicious,0.63
Have you seen the new movie?,Safe,0.11
Bring the green stuff but don’t tell anyone.,Suspicious,0.54
"Hey, how was your day?",Safe,0.15
Thanks for your help!,Safe,0.16
The weather is nice today.,Safe,0.01
Don't forget the groceries.,Safe,0.26
Let’s catch up this weekend.,Safe,0.12
Thanks for your help!,Safe,0.25
Let's meet at 5 pm.,Safe,0.18
"Just cash, no transfers.",Suspicious,0.45
You still got the pills from last time?,Suspicious,0.41
Where is the meeting happening?,Safe,0.13
Let's meet at 5 pm.,Safe,0.09
"MDMA is in the backpack, be quick.",Highly Suspicious,0.82
"Hey, how was your day?",Safe,0.05
Drop the bag behind the dumpster.,Highly Suspicious,0.81
I'll call you in 10 minutes.,Safe,0.3
He mentioned some white powder in a bag.,Suspicious,0.51
Have you seen the new movie?,Safe,0.12
"Hey, how was your day?",Safe,0.22
I'll call you in 10 minutes.,Safe,0.16
I'll send the document tomorrow.,Safe,0.09
Where is the meeting happening?,Safe,0.09
I'll send the document tomorrow.,Safe,0.26
Let's meet at 5 pm.,Safe,0.19
Don't forget the groceries.,Safe,0.27
Where is the meeting happening?,Safe,0.21
Let’s catch up this weekend.,Safe,0.23
Let's meet at 5 pm.,Safe,0.14
Let's meet at 5 pm.,Safe,0.04
Where is the meeting happening?,Safe,0.25
Price for weed is 1500 per pack. You want it?,Highly Suspicious,0.92
Don't forget the groceries.,Safe,0.01
"Don't get caught, it's all LSD in the packet.",Highly Suspicious,0.98
I'll send the document tomorrow.,Safe,0.06
The weather is nice today.,Safe,0.19
Shipment includes heroin and acid.,Highly Suspicious,0.87
"Hey, how was your day?",Safe,0.08
"Hey, how was your day?",Safe,0.24
Let's meet at 5 pm.,Safe,0.17
Let's meet at 5 pm.,Safe,0.0
